"","DatabaseID","ratingType","condition","Sent","rep","Count","M","SD"
"79","Sub11","Int","moreClear","bsent","4",4,32.75,26.2090951134652
"80","Sub11","Int","moreClear","bsent","5",5,18.2,14.2021125189177
"81","Sub11","Int","moreClear","ksent","1",4,30.75,36.2985307324323
"82","Sub11","Int","moreClear","ksent","2",4,5.25,6.39661368746516
"83","Sub11","Int","moreClear","ksent","3",3,11,14.9331845230681
"84","Sub11","Int","moreClear","ksent","4",3,49.6666666666667,38.5529938310027
"85","Sub11","Int","moreClear","ksent","5",4,26.5,32.9089653438087
"86","Sub11","Int","moreClear","tsent","1",4,57.75,49.3988866271296
"87","Sub11","Int","moreClear","tsent","2",4,27.75,22.6917753088353
"88","Sub11","Int","moreClear","tsent","3",4,21.25,21.1404036542982
"89","Sub11","Int","moreClear","tsent","4",3,34,31
"90","Sub11","Int","moreClear","tsent","5",3,26.3333333333333,32.7159492195066
"91","Sub12","AP","conv","bsent","1",3,58.3333333333333,22.3681320930768
"92","Sub12","AP","conv","bsent","2",3,69.3333333333333,26.8576494379782
"93","Sub12","AP","conv","bsent","3",3,41,19.0787840283389
"94","Sub12","AP","conv","bsent","4",4,46,26.0895892391327
"95","Sub12","AP","conv","bsent","5",4,23.75,24.5271957902516
"96","Sub12","AP","conv","ksent","1",3,28.3333333333333,22.0302821891444
"97","Sub12","AP","conv","ksent","2",3,23.6666666666667,10.785793124909
"98","Sub12","AP","conv","ksent","3",3,4,4
"99","Sub12","AP","conv","ksent","4",3,23.6666666666667,16.5025250593154
"100","Sub12","AP","conv","ksent","5",4,9.75,10.8742815854658
"101","Sub12","AP","conv","tsent","1",3,35.3333333333333,26.3122278291545
"102","Sub12","AP","conv","tsent","2",4,22.5,27
"103","Sub12","AP","conv","tsent","3",3,45,48.4458460551573
"104","Sub12","AP","conv","tsent","4",3,25,29.5972971738975
"105","Sub12","AP","conv","tsent","5",4,23.5,13.4783777461038
"106","Sub12","AP","lessClear","bsent","1",3,42.6666666666667,13.7961347243833
"107","Sub12","AP","lessClear","bsent","2",3,50.6666666666667,50.0133315560295
"108","Sub12","AP","lessClear","bsent","3",3,22.3333333333333,20.7444771766688
"109","Sub12","AP","lessClear","bsent","4",4,19,19.4079021706795
"110","Sub12","AP","lessClear","bsent","5",4,0.5,0.577350269189626
"111","Sub12","AP","lessClear","ksent","1",3,2,3.46410161513775
"112","Sub12","AP","lessClear","ksent","2",3,15,5.19615242270663
"113","Sub12","AP","lessClear","ksent","3",3,0.666666666666667,1.15470053837925
"114","Sub12","AP","lessClear","ksent","4",3,12.3333333333333,14.9777612924406
"115","Sub12","AP","lessClear","ksent","5",4,2,2.3094010767585
"116","Sub12","AP","lessClear","tsent","1",3,33,30.1164406927512
"117","Sub12","AP","lessClear","tsent","2",4,10.5,17.2336879396141
"118","Sub12","AP","lessClear","tsent","3",3,3,2.64575131106459
"119","Sub12","AP","lessClear","tsent","4",3,5,5.29150262212918
"120","Sub12","AP","lessClear","tsent","5",4,8,6.27162924074226
"121","Sub12","AP","moreClear","bsent","1",3,70.3333333333333,22.7449628123093
"122","Sub12","AP","moreClear","bsent","2",3,65.6666666666667,30.9246395829173
"123","Sub12","AP","moreClear","bsent","3",3,52,45.3982378512647
"124","Sub12","AP","moreClear","bsent","4",4,40.5,36.0601349599989
"125","Sub12","AP","moreClear","bsent","5",4,21.75,24.2538656712698
"126","Sub12","AP","moreClear","ksent","1",3,29.6666666666667,17.9536440126603
"127","Sub12","AP","moreClear","ksent","2",3,26.3333333333333,14.742229591664
"128","Sub12","AP","moreClear","ksent","3",3,5,5
"129","Sub12","AP","moreClear","ksent","4",3,25.6666666666667,13.6137185711081
"130","Sub12","AP","moreClear","ksent","5",4,14.75,13.3510299228187
"131","Sub12","AP","moreClear","tsent","1",3,39,23.0651251893416
"132","Sub12","AP","moreClear","tsent","2",4,38.5,43.1238526417419
"133","Sub12","AP","moreClear","tsent","3",3,65.3333333333333,48.9114846772548
"134","Sub12","AP","moreClear","tsent","4",3,30.6666666666667,16.2890556304942
"135","Sub12","AP","moreClear","tsent","5",4,36.5,17.9907383580182
"136","Sub12","Int","conv","bsent","1",3,64,33.7786915081091
"137","Sub12","Int","conv","bsent","2",5,90.8,20.5718253929981
"138","Sub12","Int","conv","bsent","3",3,72.6666666666667,37.4343870436439
"139","Sub12","Int","conv","bsent","4",3,88.6666666666667,5.68624070307733
"140","Sub12","Int","conv","bsent","5",4,49.75,35.8921997096862
"141","Sub12","Int","conv","ksent","1",4,23.75,20.4348558432237
"142","Sub12","Int","conv","ksent","2",4,5.25,5.37742193496723
"143","Sub12","Int","conv","ksent","3",3,0,0
"144","Sub12","Int","conv","ksent","4",3,22.3333333333333,38.6824680357049
"145","Sub12","Int","conv","ksent","5",3,0,0
"146","Sub12","Int","conv","tsent","1",4,33.25,46.2123720807895
"147","Sub12","Int","conv","tsent","2",2,34,25.4558441227157
"148","Sub12","Int","conv","tsent","3",4,25,15.7480157480236
"149","Sub12","Int","conv","tsent","4",3,29.3333333333333,50.8068236886871
"150","Sub12","Int","conv","tsent","5",3,7.33333333333333,0.577350269189626
"151","Sub12","Int","lessClear","bsent","1",3,40.3333333333333,52.2143019998672
"152","Sub12","Int","lessClear","bsent","2",5,75,40.3856410126173
"153","Sub12","Int","lessClear","bsent","3",3,45.6666666666667,47.3743953347516
"154","Sub12","Int","lessClear","bsent","4",3,54,28.7923600977759
"155","Sub12","Int","lessClear","bsent","5",4,43.5,37.5455279183376
"156","Sub12","Int","lessClear","ksent","1",4,11.5,16.583123951777
"157","Sub12","Int","lessClear","ksent","2",4,4,6.05530070819498
