"","ListenerID","StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","inUS","english","age","gender","Q2_8_TEXT","race","Q3_7_TEXT","ethnicity","Q1.2","Headphones","Q2.2","Practice1_4","Practice1_5","Practice1_6","Practice2_15","Practice2_16","Practice2_17","Q5"
"140","L140","2022-01-26 17:13:26","2022-01-26 17:17:35","100","249","True","2022-01-26 17:17:35","R_1ONYnFt3Q8qAipU","anonymous","EN","Yes","Yes, it is my native language",29,"Woman","","Other","Hispanic","Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"141","L141","2022-01-26 17:11:24","2022-01-26 17:17:41","100","377","True","2022-01-26 17:17:42","R_2TR9Gfa7eT8aWpm","anonymous","EN","Yes","Yes, it is my native language",19,"Woman","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"142","L142","2022-01-26 17:11:19","2022-01-26 17:17:59","100","399","True","2022-01-26 17:17:59","R_2l3Ukq4gwpm8DIJ","anonymous","EN","Yes","Yes, it is my native language",62,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"143","L143","2022-01-26 17:12:02","2022-01-26 17:18:10","100","367","True","2022-01-26 17:18:10","R_1ilIytwNRoZXEbF","anonymous","EN","Yes","Yes, it is my native language",27,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","80","93","89","62","56","71","Yes, I am ready to begin."
"144","L144","2022-01-26 17:12:33","2022-01-26 17:18:12","100","338","True","2022-01-26 17:18:12","R_3ExPQCDBdyuwq4V","anonymous","EN","Yes","Yes, it is my native language",41,"Man","","Black/African American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"145","L145","2022-01-26 17:13:38","2022-01-26 17:18:13","100","274","True","2022-01-26 17:18:13","R_1P80BO5kp9l7I5t","anonymous","EN","Yes","Yes, it is my native language",29,"Woman","","Native American or Alaska Native","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"146","L146","2022-01-26 17:13:05","2022-01-26 17:18:16","100","311","True","2022-01-26 17:18:17","R_29cWR4WFFuro6Bs","anonymous","EN","Yes","Yes, it is my native language",21,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"147","L147","2022-01-26 17:13:30","2022-01-26 17:18:43","100","312","True","2022-01-26 17:18:43","R_2fJaKVnR2oh4oua","anonymous","EN","Yes","Yes, it is my native language",53,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","93","Yes, I am ready to begin."
"148","L148","2022-01-26 17:12:33","2022-01-26 17:18:50","100","376","True","2022-01-26 17:18:50","R_3KqCqhgkIA6MAKL","anonymous","EN","Yes","Yes, it is my native language",53,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","88","100","Yes, I am ready to begin."
"149","L149","2022-01-26 17:12:44","2022-01-26 17:19:03","100","379","True","2022-01-26 17:19:03","R_33DNJbwcSduJGn4","anonymous","EN","Yes","Yes, it is my native language",40,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"150","L150","2022-01-26 17:11:58","2022-01-26 17:19:56","100","478","True","2022-01-26 17:19:56","R_2EoZ6MJEzb1NQMl","anonymous","EN","Yes","Yes, it is my native language",35,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","95","100","100","100","Yes, I am ready to begin."
"151","L151","2022-01-26 17:11:27","2022-01-26 17:21:40","100","613","True","2022-01-26 17:21:40","R_2BbKKV9iRHPlHwJ","anonymous","EN","Yes","Yes, it is my native language",30,"Woman","","Black/African American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","82","70","74","Yes, I am ready to begin."
"152","L152","2022-01-26 17:12:55","2022-01-26 17:21:43","100","528","True","2022-01-26 17:21:43","R_1JVmbVcykR3hcEh","anonymous","EN","Yes","Yes, it is my native language",25,"Woman","","Prefer not to say","","Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"153","L153","2022-01-26 17:12:11","2022-01-26 17:22:20","100","609","True","2022-01-26 17:22:21","R_eOJHU7c8yu4SHD3","anonymous","EN","Yes","Yes, it is my native language",51,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","98","100","100","Yes, I am ready to begin."
"154","L154","2022-01-26 17:13:29","2022-01-26 17:23:51","100","621","True","2022-01-26 17:23:51","R_2RUQS4E8CHpxL2G","anonymous","EN","Yes","Yes, it is my native language",33,"Man","","Asian American","","Hispanic/Latino","Yes, I can hear the audio.","","","100","90","100","73","100","100","Yes, I am ready to begin."
"155","L155","2022-01-26 17:12:51","2022-01-26 17:24:10","100","679","True","2022-01-26 17:24:10","R_1k1UuKL3xbMpmLz","anonymous","EN","Yes","Yes, it is my native language",59,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","92","93","100","Yes, I am ready to begin."
